QuestionText,QuestionLink,Asker,Edits,QuestionsAsked,Answers,Facebook,Sex,Location,Banned,Followers,Following,,
What does mean when your talking to an attraction women and there's good connect but she mentions a boyfriend or subtlety displays her engagement ring?,https://www.quora.com/What-does-mean-when-your-talking-to-an-attraction-women-and-theres-good-connect-but-she-mentions-a-boyfriend-or-subtlety-displays-her-engagement-ring,https://www.quora.com/profile/Richard-Olsson-2,6,2,0, , , , ,0,0, , 
What do most women feel about the fact that most rapists themselves get raped in jails once they are convicted?,https://www.quora.com/What-do-most-women-feel-about-the-fact-that-most-rapists-themselves-get-raped-in-jails-once-they-are-convicted,https://www.quora.com/profile/Raghu-Veer-57,174,4,0, , ,"  Bengaluru, Karnataka, India", ,7,79, , 
"Compared to now, how much time and effort did women used to put on beauty in the hunter gatherer times?",https://www.quora.com/Compared-to-now-how-much-time-and-effort-did-women-used-to-put-on-beauty-in-the-hunter-gatherer-times,https://www.quora.com/profile/Madhur-Bagai,52,11,7,http://www.facebook.com/100000039874659, ,"  Chandigarh, India", ,94,121, , 
What does it mean when a girl says you're easy to talk to?,https://www.quora.com/What-does-it-mean-when-a-girl-says-youre-easy-to-talk-to,https://www.quora.com/profile/Alex-Joaquim,75,9,1, , , , ,0,0, , 
How are man different then woman in terms of online shopping?,https://www.quora.com/How-are-man-different-then-woman-in-terms-of-online-shopping,https://www.quora.com/profile/Bengi-Toz,4,1,2,http://www.facebook.com/766200173, ,"  Ann Arbor, MI", ,3,18, ,https://www.linkedin.com/in/bengitozeren
"IF a girl I dated once says I am busy but we will meet definitely soon again, and every now and then replies or even initiates texts, is she really interested?",https://www.quora.com/IF-a-girl-I-dated-once-says-I-am-busy-but-we-will-meet-definitely-soon-again-and-every-now-and-then-replies-or-even-initiates-texts-is-she-really-interested,https://www.quora.com/profile/Milad-Golkaram,6,1,1,http://www.facebook.com/100001851737506, ,"  Tehran, Iran", ,1,0, , 
Is being housewife still very much common and sort of normal thing in Germany?,https://www.quora.com/Is-being-housewife-still-very-much-common-and-sort-of-normal-thing-in-Germany,Anonymous,0,0,0,0,0,0,0,0,0,,
What are some good holiday season topics for women?,https://www.quora.com/What-are-some-good-holiday-season-topics-for-women,https://www.quora.com/profile/Leslie-Chen-18,24,1,0, , , , ,0,2, , 
"Do Japanese women who use parasols also use sunscreen, or do they skip out on it?",https://www.quora.com/Do-Japanese-women-who-use-parasols-also-use-sunscreen-or-do-they-skip-out-on-it,https://www.quora.com/profile/Alex-K-Chen,203233,44043,2180,http://www.facebook.com/100001281229599, ,"  Redmond, WA", ,11793,1923,http://twitter.com/inquilinekea, 
Why do women scream when frightened?,https://www.quora.com/Why-do-women-scream-when-frightened,https://www.quora.com/profile/William-Billar-1,1,1,0,http://www.facebook.com/10152750407853239, , , ,0,0, , 
Are women really physically weaker then men or is it the different expectations in regards to fitness that truly makes them weaker?,https://www.quora.com/Are-women-really-physically-weaker-then-men-or-is-it-the-different-expectations-in-regards-to-fitness-that-truly-makes-them-weaker,https://www.quora.com/profile/David-Lane-53,33,17,1, , , , ,0,0, , 
Is it OK for women to watch porn?,https://www.quora.com/Is-it-OK-for-women-to-watch-porn,https://www.quora.com/profile/Kriti-Pokharel,4,0,3, , , , ,0,0, , 
To what lengths would a man go to show a woman he loves her?,https://www.quora.com/To-what-lengths-would-a-man-go-to-show-a-woman-he-loves-her,https://www.quora.com/profile/Tanya-Phoenix,936,53,417, , ,"  California State University, Los Angeles", ,24,19, , 
What is the best natural remedy for treating bald patches in women.?,https://www.quora.com/What-is-the-best-natural-remedy-for-treating-bald-patches-in-women,https://www.quora.com/profile/Subroto-Goswami,1,1,0,http://www.facebook.com/1031711170186634, ,"  Ranchi, Jharkhand, India", ,0,5, , 
How does female masturbation helps?,https://www.quora.com/How-does-female-masturbation-helps,https://www.quora.com/profile/Kanishka-Malhotra,12,5,1, , , , ,1,12, , 
Why do ladies see moon through a sieve on karvachouth?,https://www.quora.com/Why-do-ladies-see-moon-through-a-sieve-on-karvachouth,https://www.quora.com/profile/Satish-Sethi-1,1,1,0, , , , ,0,0, , 
How does matchify has so many female's listed with them?,https://www.quora.com/How-does-matchify-has-so-many-females-listed-with-them,Anonymous,0,0,0,0,0,0,0,0,0,,
Why do some women tend to decode information when what men said was actually true and has no hidden agenda?,https://www.quora.com/Why-do-some-women-tend-to-decode-information-when-what-men-said-was-actually-true-and-has-no-hidden-agenda,Anonymous,0,0,0,0,0,0,0,0,0,,
Why does women die during reproducing and giving birth to child?,https://www.quora.com/Why-does-women-die-during-reproducing-and-giving-birth-to-child,https://www.quora.com/profile/Ravi-Bhardwaj-30,81,7,5, , ,"  Pune, Maharashtra, India", ,0,10, , 
How can a woman of 49 year old put on her weight by 28kg to double of it?,https://www.quora.com/How-can-a-woman-of-49-year-old-put-on-her-weight-by-28kg-to-double-of-it,Anonymous,0,0,0,0,0,0,0,0,0,,
Is a woman with treated bipolar disorder competent with a child?,https://www.quora.com/Is-a-woman-with-treated-bipolar-disorder-competent-with-a-child,https://www.quora.com/profile/E-Radoja,1,2,0, , , , ,0,0, , 
What are some interesting self-grooming rituals that women partake in?,https://www.quora.com/What-are-some-interesting-self-grooming-rituals-that-women-partake-in,Anonymous,0,0,0,0,0,0,0,0,0,,
I'm obsessed with anal sex with women . Is that normal?,https://www.quora.com/Im-obsessed-with-anal-sex-with-women-Is-that-normal,https://www.quora.com/profile/Alex-Clifford-8,3,2,1, , , , ,0,0, , 
What men (especially young boys who lack experience) don't know/understand about women that you would like them to know and understand?,https://www.quora.com/What-men-especially-young-boys-who-lack-experience-dont-know-understand-about-women-that-you-would-like-them-to-know-and-understand,Anonymous,0,0,0,0,0,0,0,0,0,,
Is there serious prejudice against women in the job market in the present China?,https://www.quora.com/Is-there-serious-prejudice-against-women-in-the-job-market-in-the-present-China,https://www.quora.com/profile/Sara-Allen-10,5,3,0, , , , ,0,0, , 
Are most women bisexual?,https://www.quora.com/Are-most-women-bisexual,Anonymous,0,0,0,0,0,0,0,0,0,,
"My ex-girlfriend got married two weeks ago. I have seen the video of her wedding. She looked  so excited, and very comfortable in the marriage. Do women easily forget six years of love in six months?",https://www.quora.com/My-ex-girlfriend-got-married-two-weeks-ago-I-have-seen-the-video-of-her-wedding-She-looked-so-excited-and-very-comfortable-in-the-marriage-Do-women-easily-forget-six-years-of-love-in-six-months,Anonymous,0,0,0,0,0,0,0,0,0,,
How a muslim guy can marry two girls whom he love one girl is hindu and other is muslim?,https://www.quora.com/How-a-muslim-guy-can-marry-two-girls-whom-he-love-one-girl-is-hindu-and-other-is-muslim,https://www.quora.com/profile/Shahrukh-Khan-132,3,1,0,http://www.facebook.com/599079603563803, ,"  Lucknow, Uttar Pradesh, India", ,0,0, , 
What do women buy the most?,https://www.quora.com/What-do-women-buy-the-most,Anonymous,0,0,0,0,0,0,0,0,0,,
Sexual Intimacy: Does virginity matter to women?,https://www.quora.com/Sexual-Intimacy/Does-virginity-matter-to-women,Anonymous,0,0,0,0,0,0,0,0,0,,
Ladies: If you acquired the superpower of invisibility what would you use it for first?,https://www.quora.com/Ladies-If-you-acquired-the-superpower-of-invisibility-what-would-you-use-it-for-first,https://www.quora.com/profile/Bob-Anderson-23,3878,8,1133, , ,"Lindale, GA", ,100,9, , 
Is it possible to be desirable to women if you're an unemployed adult living with your parents?,https://www.quora.com/Is-it-possible-to-be-desirable-to-women-if-youre-an-unemployed-adult-living-with-your-parents,Anonymous,0,0,0,0,0,0,0,0,0,,
Does my ideal woman/dream woman exist?,https://www.quora.com/Does-my-ideal-woman-dream-woman-exist,https://www.quora.com/profile/Alejandro-Estrada-10,248,122,0, , , , ,1,0, , 
Why do so many women cut their hair short after they get married?,https://www.quora.com/Why-do-so-many-women-cut-their-hair-short-after-they-get-married,Anonymous,0,0,0,0,0,0,0,0,0,,
Who are the greatest women that history has forgotten?,https://www.quora.com/Who-are-the-greatest-women-that-history-has-forgotten,https://www.quora.com/profile/Susan-Murphy-11,8,3,0, , , , ,0,0, , 
What's the explanation for women getting more beautiful the more you drink?,https://www.quora.com/Whats-the-explanation-for-women-getting-more-beautiful-the-more-you-drink,Anonymous,0,0,0,0,0,0,0,0,0,,
What pleasures a woman in sex?,https://www.quora.com/What-pleasures-a-woman-in-sex,Anonymous,0,0,0,0,0,0,0,0,0,,
How do I impress a Brazilian girl?,https://www.quora.com/How-do-I-impress-a-Brazilian-girl,Anonymous,0,0,0,0,0,0,0,0,0,,
How do women always win a fight with man in term of speech?,https://www.quora.com/How-do-women-always-win-a-fight-with-man-in-term-of-speech,Anonymous,0,0,0,0,0,0,0,0,0,,
What should the word used for praise a beautyful lady?,https://www.quora.com/What-should-the-word-used-for-praise-a-beautyful-lady,https://www.quora.com/profile/Ritesh-Nagpal-4,1,1,0, , , , ,0,0, , 
Are girls attracted towards boys?,https://www.quora.com/Are-girls-attracted-towards-boys,https://www.quora.com/profile/Shaurya-Sharma-38,27,26,0,http://www.facebook.com/827536904027691, ,"  Citm, Faridabad", ,0,0, , 
"Are the girls who are bar dancers, sex workers too? Or their source of income is just the income from dancing?",https://www.quora.com/Are-the-girls-who-are-bar-dancers-sex-workers-too-Or-their-source-of-income-is-just-the-income-from-dancing,Anonymous,0,0,0,0,0,0,0,0,0,,
Why are women's heart rates faster than men's?,https://www.quora.com/Why-are-womens-heart-rates-faster-than-mens,Anonymous,0,0,0,0,0,0,0,0,0,,
What is the dumbest question ever asked to a girl?,https://www.quora.com/What-is-the-dumbest-question-ever-asked-to-a-girl,https://www.quora.com/profile/Rajat-Sharma-453,4,3,0,http://www.facebook.com/718161608317159, ,  Baddi University of Emerging Sciences and Technology, ,0,0, , 
People say women have been repressed/oppressed through ages. But why were they repressed in the first place? Maybe people have forgotten the real reasons and preach otherwise now?,https://www.quora.com/People-say-women-have-been-repressed-oppressed-through-ages-But-why-were-they-repressed-in-the-first-place-Maybe-people-have-forgotten-the-real-reasons-and-preach-otherwise-now,Anonymous,0,0,0,0,0,0,0,0,0,,
What's the best way to make a woman experience multiple orgasms?,https://www.quora.com/Whats-the-best-way-to-make-a-woman-experience-multiple-orgasms,Anonymous,0,0,0,0,0,0,0,0,0,,
What is a good workout for a female gym beginner?,https://www.quora.com/What-is-a-good-workout-for-a-female-gym-beginner,Anonymous,0,0,0,0,0,0,0,0,0,,
Do all Arab and Muslim countries treat women like second class citizens?,https://www.quora.com/Do-all-Arab-and-Muslim-countries-treat-women-like-second-class-citizens,Anonymous,0,0,0,0,0,0,0,0,0,,
Why do women require more time than men to want sex in dating / relationships?,https://www.quora.com/Why-do-women-require-more-time-than-men-to-want-sex-in-dating-relationships,Anonymous,0,0,0,0,0,0,0,0,0,,
"Why do women fall for Mystic (Guru, Swamy, Saint, Spiritual leader, Motivator)?",https://www.quora.com/Why-do-women-fall-for-Mystic-Guru-Swamy-Saint-Spiritual-leader-Motivator,Anonymous,0,0,0,0,0,0,0,0,0,,
Why women tend to have saddlebags and wide hips more often in the mountains? Is it altitude or genetic or what? I noticed a mountain called saddlebags?,https://www.quora.com/Why-women-tend-to-have-saddlebags-and-wide-hips-more-often-in-the-mountains-Is-it-altitude-or-genetic-or-what-I-noticed-a-mountain-called-saddlebags,Anonymous,0,0,0,0,0,0,0,0,0,,
Why can't a woman be more like a man?,https://www.quora.com/Why-cant-a-woman-be-more-like-a-man-1,https://www.quora.com/profile/John-Smith-7200,668,64,14,http://www.facebook.com/101538983518037, , , ,1,2, , 
"Marriage: Can someone describe the experience of getting married, or, getting married to someone, who didn't have much personal interaction with the opposite gender?",https://www.quora.com/Marriage-Can-someone-describe-the-experience-of-getting-married-or-getting-married-to-someone-who-didnt-have-much-personal-interaction-with-the-opposite-gender,https://www.quora.com/profile/Piyush-Kumar-67,450,8,71, , ,"  Chennai, Tamil Nadu, India", ,145,617, ,http://twitter.com/Rapchik_Rascal
How does a woman feel to be tonsured/bald?,https://www.quora.com/How-does-a-woman-feel-to-be-tonsured-bald,Anonymous,0,0,0,0,0,0,0,0,0,,
What are girls busy at in Girl Alone live sex webcam chat on Imlive?,https://www.quora.com/What-are-girls-busy-at-in-Girl-Alone-live-sex-webcam-chat-on-Imlive,Anonymous,0,0,0,0,0,0,0,0,0,,
What is a perfect birthday gift for a woman who is in love with autumn?,https://www.quora.com/What-is-a-perfect-birthday-gift-for-a-woman-who-is-in-love-with-autumn,https://www.quora.com/profile/Nikolay-Georgiev-9,11,2,0, , , , ,0,0, , 
What do majority of women think about men's arms and bodies? How much could it be important?,https://www.quora.com/What-do-majority-of-women-think-about-mens-arms-and-bodies-How-much-could-it-be-important,Anonymous,0,0,0,0,0,0,0,0,0,,
